source_page	download_url	creator	license	license_url	source_page_sha256	used_by
https://bigsoundbank.com/underground-parking-s0604.html	https://bigsoundbank.com/UPLOAD/mp3/0604.mp3	Joseph Sardin	CC0 1.0	https://bigsoundbank.com/licenses.html	a7e384bac39d60ea12b000cd78399b7a207dc02d44d9b7e0f14fee9140fe30bc	conv1/underground_parking_long;conv2/underground_parking_long;conv3/underground_parking_long
https://bigsoundbank.com/urban-works-1-s3526.html	https://bigsoundbank.com/UPLOAD/mp3/3526.mp3	Axeline T.	CC0 1.0	https://bigsoundbank.com/licenses.html	21d280bcf7508a40660f7b036e16c276e287668e38cee956cde3e44a991861ef	conv1/urban_works_long;conv2/urban_works_long;conv3/urban_works_long
https://bigsoundbank.com/wake-birds-3-s0999.html	https://bigsoundbank.com/UPLOAD/mp3/0999.mp3	Joseph Sardin	CC0 1.0	https://bigsoundbank.com/licenses.html	2474a0380737dd26c16844d8d377bd982e10a291dfdc81caf1aa961aa084f0c1	conv1/birds_waking_long;conv2/birds_waking_long;conv3/birds_waking_long
https://bigsoundbank.com/wind-turbine-5-s3226.html	https://bigsoundbank.com/UPLOAD/mp3/3226.mp3	Joseph Sardin & Axeline T.	CC0 1.0	https://bigsoundbank.com/licenses.html	88e21ad424bd9019391834fe62732a41d65b77bc0b94dde1f6cc652bc57796d9	conv1/wind_turbine_long;conv2/wind_turbine_long;conv3/wind_turbine_long
https://bigsoundbank.com/wind-turbine-contact-1-s3224.html	https://bigsoundbank.com/UPLOAD/mp3/3224.mp3	Joseph Sardin & Axeline T.	CC0 1.0	https://bigsoundbank.com/licenses.html	58e47c82ffdd02103ed1e12ca36b0fc6fdec706a301f855414e98d8b0b8fdfd4	conv1/wind_turbine_contact_long;conv2/wind_turbine_contact_long;conv3/wind_turbine_contact_long
https://commons.wikimedia.org/w/index.php?curid=137896720	https://upload.wikimedia.org/wikipedia/commons/b/b5/Snf024_modelofchristiancharity_winthrop_pga.ogg	Libravox, Progressing America	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	eb2ceae76bec6150b7b86ef79fd4898fc54c0d8697c0b4965669880a12107d6a	conv5/model_christian_charity;conv9/model_christian_charity
https://commons.wikimedia.org/w/index.php?curid=44144182	https://upload.wikimedia.org/wikipedia/commons/a/a4/Chopin_-_Piano_Concerto_no._1%2C_Op._11_%28string_quartet%29-2.ogg	Frédéric Chopin	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	c842d7300597c1737e8e3332d48d3f2924970e25fa66e7f7d4b307b8e9fd3b3e	conv10-list/conv10/chopin_string_quartet;conv10/chopin_string_quartet;conv9/chopin_string_quartet
https://freesound.org/people/AGFX/sounds/735541	https://cdn.freesound.org/previews/735/735541_50975-hq.mp3	AGFX	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	59fbd2aa6a86e5654521cf53d66ec36f66de65257a29890cf44638dac04485ca	conv10-list/conv10/gifu_pipe_organ;conv10/gifu_pipe_organ;conv9/gifu_pipe_organ
https://freesound.org/people/AKkingStudio/sounds/582683	https://cdn.freesound.org/previews/582/582683_10842165-hq.mp3	AKkingStudio	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	e3e6269105020974fcc01aaffe7057789716d6ada864f0abbf70512e658f5e50	conv10-list/conv8/bee_buzz_short;conv7/bee_buzz_short;conv8/bee_buzz_short
https://freesound.org/people/AVstudent/sounds/344993	https://cdn.freesound.org/previews/344/344993_5610899-hq.mp3	AVstudent	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	8735565609aeaa0190742565800a9dbf7f9405743a28b2624de041d68975369f	conv4/lightning_recording;conv9/lightning_recording
https://freesound.org/people/Alcappuccino/sounds/320460	https://cdn.freesound.org/previews/320/320460_4536481-hq.mp3	Alcappuccino	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	10909aab763136e681e8bf6c7a38b4e819fc5339379fde876abaa95a43780c00	conv1/metro_platform;conv2/metro_platform;conv3/metro_platform
https://freesound.org/people/Ali@k/sounds/128907	https://cdn.freesound.org/previews/128/128907_202371-hq.mp3	Ali@k	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	44430d922bcf807c73c99f714cd42380b8e395a9c13685d2c836fc383a32e29b	conv4/rain_storm
https://freesound.org/people/Andrewkn/sounds/404460	https://cdn.freesound.org/previews/404/404460_7038073-hq.mp3	Andrewkn	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	983c8dfc1fb941b24329a7b8a9f9064b2a64349a45c65c7fd9e33e607110a705	conv4/warm_evening
https://freesound.org/people/Andy_Gardner/sounds/251444	https://cdn.freesound.org/previews/251/251444_2254206-hq.mp3	Andy_Gardner	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	a1abf85b37bd19ab4d98b543a6e3fb1dc697e4aa5fb20e06218f407541dc7ea0	conv10-list/conv8/arran_ferry_long;conv7/arran_ferry_long;conv8/arran_ferry_long
https://freesound.org/people/AngeloRizzo/sounds/717150	https://cdn.freesound.org/previews/717/717150_11962990-hq.mp3	AngeloRizzo	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	5759c905556dee0e9577a2dc2e5e598d2e527c9f618647b70cfd9514e9fc5428	conv4/gentle_piano
https://freesound.org/people/Astounded/sounds/483127	https://cdn.freesound.org/previews/483/483127_10201334-hq.mp3	Astounded	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	afedfebe43fd65dc182bffbe0fd087365a9d21517c0513e98c5d15fc3916eaf6	conv6/gap_cathedral
https://freesound.org/people/Audeption/sounds/425174	https://cdn.freesound.org/previews/425/425174_8323418-hq.mp3	Audeption	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	ccc82c699d1e4433a98e5f90feb9454a9acdab27b12b15804d28832083a329e1	conv4/heavy_rain_thunder
https://freesound.org/people/Auxide_Audio/sounds/588179	https://cdn.freesound.org/previews/588/588179_13207434-hq.mp3	Auxide_Audio	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	939566ff3147d8fbddcb8ad0ea0ad87b7f303be623bac379c47587626e71b2d1	conv10-list/conv8/mountain_river_long;conv7/mountain_river_long;conv8/mountain_river_long
https://freesound.org/people/AxelTheCocker02/sounds/733614	https://cdn.freesound.org/previews/733/733614_15430596-hq.mp3	AxelTheCocker02	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	cf4df6131f0d5fe1491e2ff053cec0ca11b7b14e2d60e6e84d2e77c1ffb3e2ea	conv5/stadium_crowd_sing
https://freesound.org/people/BitsyMcNics/sounds/251645	https://cdn.freesound.org/previews/251/251645_2470637-hq.mp3	BitsyMcNics	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	5c96cff3a094dcde1c9fd3d9b2e16eeb32c78935174d96257673029dacb261b7	conv10-list/conv10/woodshop_process;conv10/woodshop_process;conv9/woodshop_process
https://freesound.org/people/BonnyOrbit/sounds/484337	https://cdn.freesound.org/previews/484/484337_5902878-hq.mp3	BonnyOrbit	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	270c9d5ecb507f56fb485a0f4c24438bde73e908b12278ad9e5ae5d06322c894	conv6/fireplace_burning;conv9/fireplace_burning
https://freesound.org/people/BrainClaim/sounds/273804	https://cdn.freesound.org/previews/273/273804_4875045-hq.mp3	BrainClaim	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	e6f90db7f19f19b293a4369fc9764ef0c37c5d2cba84e9742466d6741e254df9	conv10-list/conv10/christe_choir;conv10/christe_choir;conv9/christe_choir
https://freesound.org/people/Breviceps/sounds/573585	https://cdn.freesound.org/previews/573/573585_9159316-hq.mp3	Breviceps	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	abe49d0c2328906c666e232f98216ee5627f05e670657435e6c5a78d7079fee1	conv7/river_rapids_short;conv8/river_rapids_short
https://freesound.org/people/Bruce%20Burbank/sounds/136596	https://cdn.freesound.org/previews/136/136596_2115643-hq.mp3	Bruce Burbank	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	1fc6c3bf4c997297604c637f4374f431def5a8f726e752b8b14dbeb3d2fb2197	conv10-list/conv10/thunder_mountain;conv10/thunder_mountain;conv9/thunder_mountain
https://freesound.org/people/BuddhaMaster/sounds/62915	https://cdn.freesound.org/previews/62/62915_833057-hq.mp3	BuddhaMaster	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	e3ab6ba99e6a5d2dddebcfa99811da407e36b9fbe265d076f03f106c1bd2463c	conv5/scrap_metal_processing
https://freesound.org/people/Cigaro30/sounds/725041	https://cdn.freesound.org/previews/725/725041_3890135-hq.mp3	Cigaro30	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	d7e36f979699aebb683b4112263bd2f9bc88980cc074c0dd027e30b3618f0cc3	conv10-list/conv8/sheep_barn_short;conv7/sheep_barn_short;conv8/sheep_barn_short
https://freesound.org/people/Cornwallis89/sounds/244591	https://cdn.freesound.org/previews/244/244591_1740002-hq.mp3	Cornwallis89	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	7cecdbaca16b21658b34c8df51a7f3b7ad1b005b351879798defc54d1b4ad940	conv5/gravel_walking
https://freesound.org/people/Cornwallis89/sounds/244592	https://cdn.freesound.org/previews/244/244592_1740002-hq.mp3	Cornwallis89	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	fac42ddd8968d25f6e977dc5dc8775c5a225ceaf8cb3d9009d7fa27f380e44fa	conv5/concrete_walking
https://freesound.org/people/Cunningar0807/sounds/394288	https://cdn.freesound.org/previews/394/394288_5442183-hq.mp3	Cunningar0807	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	17019384bedc6938b2c8b93c4818a3b91ba52e9b7cee57416a8076ceceab40ed	conv4/sad_violin
https://freesound.org/people/DisasterServices/sounds/252793	https://cdn.freesound.org/previews/252/252793_3873802-hq.mp3	DisasterServices	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	18b60e6784474fc14f76379540c4e268e38a4dbf4e49e568cd25b00809dac145	conv6/heidelberg_letterpress;conv9/heidelberg_letterpress
https://freesound.org/people/Doctor_Dreamchip/sounds/436507	https://cdn.freesound.org/previews/436/436507_8462944-hq.mp3	Doctor_Dreamchip	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	530dd450c12e92539ff9d8df96f351d6afed1f1944191811e7388c944a072a0e	conv6/kids_arcade_room;conv9/kids_arcade_room
https://freesound.org/people/DogOmlet/sounds/209818	https://cdn.freesound.org/previews/209/209818_896249-hq.mp3	DogOmlet	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	a88a4b835b94bd29fc287791e41ae3d3cf6107baf28c202a6843750a76d7b3c7	conv10-list/conv8/frozen_lake_crack_short;conv7/frozen_lake_crack_short;conv8/frozen_lake_crack_short
https://freesound.org/people/DylanTheFish/sounds/463250	https://cdn.freesound.org/previews/463/463250_7482766-hq.mp3	DylanTheFish	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	436966ec50a17b5e4f7e537cf15d743b2954e918279dcb6c957233858e1930bb	conv1/nasa_splashdown;conv2/nasa_splashdown;conv3/nasa_splashdown
https://freesound.org/people/EpicWizard/sounds/386984	https://cdn.freesound.org/previews/386/386984_2291325-hq.mp3	EpicWizard	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	7a7eeea949142d17246b27e79aa5620bfedeef910fe29ca9a98e2f3d826aa3c2	conv5/serbia_rally
https://freesound.org/people/EricsSoundschmiede/sounds/447813	https://cdn.freesound.org/previews/447/447813_1106446-hq.mp3	EricsSoundschmiede	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	9301c6f5e4f23c9d24166546f323bd2a75e6c97fa884dbe1744901e10b62ccef	conv5/autumn_forest_walk;conv9/autumn_forest_walk
https://freesound.org/people/Fission9/sounds/465314	https://cdn.freesound.org/previews/465/465314_9395330-hq.mp3	Fission9	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	d42bcc773b87bd18524d9fb18a45d7fa3b5b987ca8ec56745118f599f0b0921b	conv4/single_thunder
https://freesound.org/people/FreeToUseSounds/sounds/394173	https://cdn.freesound.org/previews/394/394173_7266967-hq.mp3	FreeToUseSounds	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	d149ae306e586372f5421bcb96b1025ec020a8d8aa2e047886058be71bbef1b9	conv10-list/conv8/stuttgart_airport_long;conv7/stuttgart_airport_long;conv8/stuttgart_airport_long
https://freesound.org/people/GaryQ/sounds/128291	https://cdn.freesound.org/previews/128/128291_1931452-hq.mp3	GaryQ	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	9133205d72ad12d17fc5b870fec30db714200604caac4449737a54a8fcfdc565	conv10-list/conv8/cafeteria_long;conv7/cafeteria_long;conv8/cafeteria_long
