id	palette	topic	role	seconds	trim_start	title	creator	source_page	download_url	license	license_url	source_page_sha256	media_sha256	advertised_duration_seconds	decoded_duration_seconds	used_by
drift_desert_wind_s	drift	desert_wind	short	12	5	Wind in the desert countryside 2	fran_marenco	https://freesound.org/people/fran_marenco/sounds/796194	https://cdn.freesound.org/previews/796/796194_3557494-hq.mp3	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	1177cb56641feb22f17270527e78d501528a787f8ca4c9cf4de418bb9411edd4	5c5bebd3c1ce9a63598cc844f519675ffccf9fabbccedb35f868a5710ffe4ae5	165.260000	165.259563	drift
drift_lake_shore_l	drift	lake_shore	long	30	10	Calm Morning on the Shore, with a couple of Stouts	JohnLaVine333	https://freesound.org/people/JohnLaVine333/sounds/399741	https://cdn.freesound.org/previews/399/399741_450294-hq.mp3	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	e2cf3929ba8416e3d98e64ae2b95dcfca1ca87a20bed45ba563c23cff8ce9d94	bf33598c7737b3a07a4842382399e1e59b75890afdd859cef609802ee6c784d3	1836.130000	40.100000	drift;tideforge
drift_lake_shore_s	drift	lake_shore	short	12	5	2023-10-03 lake shore ambience.wav	Mick_	https://freesound.org/people/Mick_/sounds/705034	https://cdn.freesound.org/previews/705/705034_8356325-hq.mp3	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	3edbcb9b35b3b43d8a3d86234867eb499b8f4899969a637ddc4609fded241d47	b37260bc8581be7210a1b64e5b0fe87086ad1ddcfdddd97e237106891ee8ca2b	204.974000	204.974150	drift;tideforge
drift_pond_l	drift	pond	long	30	10	Calm pond bright wind in reeds geese water TTP 190401.flac	TRP	https://freesound.org/people/TRP/sounds/573823	https://cdn.freesound.org/previews/573/573823_97550-hq.mp3	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	89b57f0ee3b56474b470d9bcd85fa67f496836d1979347f5a507848a3f4ca644	bcb6f6760f07d3bc470cad429dbde9f986fcf9e83d14777aa59cfcd2b6b6c75e	84.839000	84.839583	drift
drift_pond_s	drift	pond	short	12	0.955	Autumn forest - leaves falling close to pond III (loopable)	Mjeno	https://freesound.org/people/Mjeno/sounds/405135	https://cdn.freesound.org/previews/405/405135_3958938-hq.mp3	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	dad76e182d222c3573937528156b916fdf893f3ac5db18bfd2e881d9986ea08c	46b7efa453d453130dfcad86601e427d85a744eb4a6cf4baf6923ce6f9003216	14.865000	14.865938	drift
drift_marsh_l	drift	marsh	long	30	10	Swamp Ambience.mp3	RyanKingArt	https://freesound.org/people/RyanKingArt/sounds/547690	https://cdn.freesound.org/previews/547/547690_11069322-hq.mp3	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	82724dcf1a70646c2be5c33dcc74d90ee7f1ab3d8a3d3e9d95ed6503215be988	5cb9269207e27d5c16bd32f8c16ee18b768b595584476d388b7b4095e2e32461	67.417000	67.416979	drift;tideforge
drift_marsh_s	drift	marsh	short	12	5	Frogs and geese in a swamp	DBlover	https://freesound.org/people/DBlover/sounds/633817	https://cdn.freesound.org/previews/633/633817_7846219-hq.mp3	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	05eeaa60b62ea4100b964ffad0b1252c04d8c2c1fab558af7d3f01ab6e95aaf5	91dd1237b27faa5d5903a208f27a3032333f27d92209d7bac342ab2932f2e606	506.331000	506.331429	drift;tideforge
drift_cave_drops_l	drift	cave_drops	long	30	5.856	Many drops of water in a big cave (Karstic system Ojo Guareña, Burgos, Spain)	nomadas	https://freesound.org/people/nomadas/sounds/609161	https://cdn.freesound.org/previews/609/609161_938246-hq.mp3	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	7d2020242f5e01cb7974e6e71ede0f1f8f83a4a360125cfb816f866a3377accb	61e2afed409f0db538dd38770cbf1dfe617e9908b5f4054454c781a2c29acf32	47.569000	47.569083	drift
drift_cave_drops_s	drift	cave_drops	short	12	3.669	water drops in cave.wav	banasz	https://freesound.org/people/banasz/sounds/583804	https://cdn.freesound.org/previews/583/583804_7841129-hq.mp3	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	224226461037b05a9c36ba5e35f9c5da9ea0b217211a71d1930062e3aa858768	f785c40c2df0363c85fde121771dc11ec803258c5417156dc17111b3c01f4fe0	23.008000	23.008005	drift
drift_underwater_l	drift	underwater	long	30	4.667	Underwater ambience.wav	Merrick079	https://freesound.org/people/Merrick079/sounds/567347	https://cdn.freesound.org/previews/567/567347_12735833-hq.mp3	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	9b9495971c7494a21581f0cc0144301ae34d99078e7db7617cafe3c3265ac80b	21de84a4464d08457adf92943932d6c4555155e9fd31abf5c9a94c6b9d909d14	44.000000	44.000000	drift;tideforge
drift_underwater_s	drift	underwater	short	12	5	Ambiance_Underwater_Stereo.wav	Nox_Sound	https://freesound.org/people/Nox_Sound/sounds/482116	https://cdn.freesound.org/previews/482/482116_9250976-hq.mp3	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	49b9b4fc056123af36d2d36d2cac7d1a981afb74efee18558f9be5c483ee4c54	856b28e3b27e27aac393270158c6b5319408bb4372e306271076f60a01ef636b	45.000000	45.000000	drift;tideforge
drift_harbor_water_l	drift	harbor_water	long	30	10	Harbor ambience with gale winds whining.wav	cher1101	https://freesound.org/people/cher1101/sounds/672690	https://cdn.freesound.org/previews/672/672690_9551767-hq.mp3	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	b36a6d3addac6deac1231343d6efcbcd950ae2c0c90e93b84a955101f5aac97b	2c5a8a75bcd654b868b0bace7185e93cdd9cbc166f8003098931f47b9444a83c	103.000000	103.000000	drift
drift_harbor_water_s	drift	harbor_water	short	12	5	Screeching rusty jetty with harbor ambience.wav	cher1101	https://freesound.org/people/cher1101/sounds/672692	https://cdn.freesound.org/previews/672/672692_9551767-hq.mp3	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	72710c47b795ddfc4bb278596afee019122fa044aaf4ffc9229738d2f2efc531	08c1ec7a18bfda2a6db70370ecf4ce3f83f422558f5c161ab302b14fd2449e06	58.000000	58.000000	drift
drift_bamboo_l	drift	bamboo	long	30	10	Wind in the bamboo grove.mp3	azdipu	https://freesound.org/people/azdipu/sounds/339331	https://cdn.freesound.org/previews/339/339331_5328817-hq.mp3	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	b9617c33200fcb33233d7753a877b99af3dfb05debc06ec1124fb0e213f52779	234d866f921ac909e7c000202a616fe19651796e6ae2b1ed54de8bdb10f2dfc6	280.125000	280.124688	drift;tideforge
drift_bamboo_s	drift	bamboo	short	12	5	bamboo forest (2).wav	Codly	https://freesound.org/people/Codly/sounds/546986	https://cdn.freesound.org/previews/546/546986_6299643-hq.mp3	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	6e1335a4be48aa5a904de05cc1a4671661f30ad4dc2f8681fcee20983efba582	6ff3ea8b7bc959e8d87f92392f489e5421979ca19e69942665ec7dd7b8e842cc	104.702000	104.702104	drift;tideforge
drift_rainforest_l	drift	rainforest	long	30	10	Bako National Park, Borneo Island, Rain Forest Ambience daytime 01.10.2013 Roland R-26 OMNI Mics.wav	gladkiy	https://freesound.org/people/gladkiy/sounds/333225	https://cdn.freesound.org/previews/333/333225_2364707-hq.mp3	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	d7c1c3b2ccb6d6644ce8c06261d2a9f1eee2eee0ced696b611ec44d2f9e144cd	669b5cc511cf9136daa6c18a45fbaffa47c77f09bb89a07e67c8744d3f5d7f07	63.841000	63.841667	drift
